msgid, senderid, receiverid, msglength, when
249,6629378676614598A,6617175564718198A,103,Fri Apr 10 17:43:55 EDT 2009
250,3317225813273898A,6617175564718198A,290,Mon Apr 13 19:15:08 EDT 2009
251,14543471573537598A,6617175564718198A,254,Sat Apr 18 18:19:15 EDT 2009
252,75948333771734698A,6617175564718198A,7,Tue Apr 21 05:15:33 EDT 2009
253,6372888188551398A,6617175564718198A,272,Wed Apr 29 08:23:34 EDT 2009
254,6863776658827898A,6617175564718198A,386,Sat May  2 22:50:51 EDT 2009
255,583786563155998A,6617175564718198A,502,Wed May  6 01:37:09 EDT 2009
256,766295864384498A,6617175564718198A,548,Wed May  6 13:36:40 EDT 2009
257,12115624884318598A,6617175564718198A,303,Mon May 11 22:04:49 EDT 2009
258,46429764529698A,6617175564718198A,27,Wed May 20 22:08:03 EDT 2009
259,3688243989118598A,6617175564718198A,150,Fri May 22 23:35:06 EDT 2009
260,137995873447998A,6617175564718198A,54,Sun May 24 13:47:45 EDT 2009
261,1693194426721198A,6617175564718198A,10,Sun May 24 21:30:19 EDT 2009
262,285594969543198A,6617175564718198A,631,Mon Jun  1 01:15:18 EDT 2009
263,13426933191898A,6617175564718198A,194,Tue Jun  9 14:38:29 EDT 2009
264,794622924484798A,6617175564718198A,273,Fri Jun 12 21:38:15 EDT 2009
265,27367892365937298A,6617175564718198A,70,Sat Jun 13 10:36:36 EDT 2009
266,4489587148698A,6617175564718198A,285,Sat Jun 13 19:07:24 EDT 2009
267,432671699779898A,6617175564718198A,166,Wed Jun 17 02:32:42 EDT 2009
268,1357963788647198A,6617175564718198A,247,Thu Jun 25 21:16:22 EDT 2009
269,1355671312426398A,6617175564718198A,102,Thu Jul  2 20:28:12 EDT 2009
270,981347474346398A,6617175564718198A,271,Sun Jul  5 04:16:48 EDT 2009
271,25267847172444498A,6617175564718198A,136,Tue Jul  7 13:50:53 EDT 2009
272,16918516888264698A,6617175564718198A,714,Tue Jul 14 06:51:06 EDT 2009
273,766295864384498A,6617175564718198A,659,Tue Jul 14 13:14:48 EDT 2009
274,7182166929634298A,6617175564718198A,2,Sat Jul 18 20:24:33 EDT 2009
275,31622837164969298A,6617175564718198A,794,Fri Aug 14 15:02:48 EDT 2009
276,1388333431779898A,6617175564718198A,152,Thu Sep 10 23:22:05 EDT 2009
277,16262577383722798A,6617175564718198A,312,Tue Nov 17 14:04:39 EST 2009
278,156912375945198A,6617175564718198A,109,Fri Jan 29 11:24:47 EST 2010
279,128576292715898A,6617175564718198A,365,Sun Mar  7 01:40:36 EST 2010
280,1349596533776798A98A,6617175564718198A,364,Sun Mar  7 02:32:30 EST 2010
281,6393217163526998A,6617175564718198A,151,Sun Mar  7 02:38:46 EST 2010
282,58766362627956398A,6617175564718198A,416,Mon Mar 15 14:52:12 EDT 2010
